symbol,name,market,sector_l1,category_l2,data_asof,source
035250.KS,강원랜드,KOSPI,오락·문화,entertainment,2026-02-19,pykrx
035420.KS,NAVER,KOSPI,IT 서비스,internet_platform,2026-02-19,pykrx
035720.KS,카카오,KOSPI,IT 서비스,internet_platform,2026-02-19,pykrx
036460.KS,한국가스공사,KOSPI,전기·가스,other,2026-02-19,pykrx
036570.KS,엔씨소프트,KOSPI,IT 서비스,internet_platform,2026-02-19,pykrx
039490.KS,키움증권,KOSPI,증권,brokerage,2026-02-19,pykrx
042660.KS,한화오션,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
042700.KS,한미반도체,KOSPI,기계·장비,semiconductor,2026-02-19,pykrx
047040.KS,대우건설,KOSPI,건설,construction,2026-02-19,pykrx
047050.KS,포스코인터내셔널,KOSPI,유통,consumer_retail,2026-02-19,pykrx
