COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
Infracost,,,Seed,$2.2,September,2021,Sequoia Capital,https://www.infracost.io/blog/infracost-sequoia-seed
Upstash,,,Seed,$1.9,March,2022,Mango Capital,https://techcrunch.com/2022/03/17/upstash-snags-1-9m-seed-to-build-serverless-data-platform-for-redis-and-kafka/
Suborbital,,,Seed,$1.6,November,2021,Amplify Partners,https://techcrunch.com/2021/11/23/suborbital-raises-1-6m-for-its-webassembly-platform/?tpcc=tcplustwitter
ToolJet,,,Seed,$1.6,January,2022,Nexus Venture Partners,https://blog.tooljet.com/raising-vc-funding-for-open-source-project/
Wasp,,,Seed,$1.5,October,2021,"Lunar Ventures, HV Capital",https://techcrunch.com/2021/10/04/yc-grads-wasp-land-1-5m-seed-to-help-developers-build-web-apps-faster/
BattleSnake,,,Seed,$1.5,September,2021,Madrona Venture Group,https://blog.battlesnake.com/building-esports-for-developers/
OpenBCI,,,Seed,NA,December,2021,"Bitkraft VC, re.Mind, NaHCO3",https://venturebeat.com/2021/12/15/openbci-creates-brain-computer-interfaces-for-gaming-and-more/
Qdrant,,,Pre-Seed,$2.2,January,2022,"42CAP, IBB Ventures",https://www.ibbventures.de/en/news/qdrant-financing
Joget,,,pre-A,$2.2,January,2022,Private,https://finance.yahoo.com/news/no-code-low-code-software-205800977.html
GitLab,GitLab,,Late,$195.0,January,2021,OMERS ++,https://about.gitlab.com/blog/2021/10/14/gitlab-inc-takes-the-devops-platform-public/
Odoo,Odoo,,Late,$215.0,August,2021,Summit Partners,https://www.odoo.com/blog/odoo-news-5/odoo-is-now-a-unicorn-so-what-784
Treasure Data,Treasure Data,,Late,$234.0,November,2021,SoftBank,https://www.treasuredata.com/press_release/treasure-data-raises-234-million/?utm_source=twitter&utm_medium=social
WSO2,WS02,,Late,$90.0,November,2021,Goldman Sachs,https://wso2.com/blogs/thesource/announcing-90-million-dollars-in-growth-capital-from-goldman-sachs/?utm_source=tw&utm_medium=orgpost&utm_campaign=tw_orgpost_blog_sanjiva_211112
Raspberry Pi,,,Late,$45.0,September,2021,Ezrah Charitable Trust,https://www.telegraph.co.uk./technology/2021/09/20/raspberry-pi-attracts-45m-lockdowns-fuel-demand-personal-computers/
Pluribus Networks,,,Late,$20.0,October,2021,Morgan Stanley Expansion Capital,https://www.pluribusnetworks.com/blog/pluribus-raises-20m-from-morgan-stanley-to-fuel-growth/
Databricks,Spark,,H,"$1,600.0",September,2021,Counterpoint Global & Coatue ,https://databricks.com/company/newsroom/press-releases/databricks-raises-1-6-billion-series-h-investment-at-38-billion-valuation
DataStax,Cassandra,,Growth,$50.0,May,2021,Goldman Sachs,https://www.datastax.com/blog/building-momentum-goldman-sachs
Graylog,Graylog,,Growth,$18.0,June,2021,Harbert,https://venturebeat.com/2021/06/24/graylog-nabs-18m-to-manage-and-analyze-log-data/
Tyk,Tyk API Gateway,,Growth,$35.0,September,2021,Scottish Equity Partners,https://tyk.io/blog/tyk-raises-35m-to-connect-every-system-in-the-world/
Shopware,,,Growth,$100.0,February,2022,"Carlyle, Paypal",https://www.shopware.com/en/investment/
Couchbase,Couchbase,,G,$105.0,June,2020,GPI Capital,https://www.couchbase.com/press-releases/couchbase-announces-usd105-million-equity-investment-led-by-gpi-capital-to-fuel-its-next-phase-of-growth-and-cloud-innovation
Redis,Redis,,G,$110.0,April,2021,Tiger Global,https://redislabs.com/press/redis-labs-110-million-series-g-led-by-tiger-global/
Databricks,Spark,,G,"$1,000.0",February,2021,Franklin Templeton,https://www.zdnet.com/article/databricks-champion-of-data-lakehouse-model-closes-1b-series-g-funding-round/
Sysdig,Sysdig,,G,$350.0,December,2021,Permira Advisers,https://sysdig.com/blog/ceo-suresh-on-sysdig-series-g-funding/
Neo4j,Neo4j,,F,$325.0,June,2021,Eurazeo,https://neo4j.com/blog/neo4j-raises-largest-funding-round-database-history/
Plume,OpenSync,,F,$300.0,October,2021,Softbank,https://techcrunch.com/2021/10/12/plume-raises-300m-as-it-passes-1-2b-devices-in-35m-homes-using-its-smart-wifi-service/
